epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.298163920793778,2.246636875,20.808,71.514
1,2.2443377017974853,1.974534375,31.84,85.244
2,2.1784854335662645,1.8517871875,36.418,88.99
3,2.134129003378061,1.6971521875,43.936,90.676
4,2.101967109166659,1.6020084375,48.304,92.284
5,2.072427142277742,1.52507375,49.044,91.564
6,2.055739900393364,1.4540690625,53.518,93.968
7,2.0284426695261244,1.4333084375,54.788,93.112
8,2.0258451654360843,1.3619534375,56.494,94.518
9,2.004900565208533,1.318159375,57.056,95.076
10,1.9511999292251392,1.25538671875,60.808,96.062
11,1.9615388870239259,1.25420265625,60.954,96.012
12,1.958950499387888,1.2516871875,60.728,96.01
13,1.9491830440667959,1.23786921875,61.338,96.14
14,1.9550594063905569,1.2381609375,61.158,96.022
15,1.9540001756105667,1.2368034375,61.352,96.04
16,1.9475857053047572,1.229955625,61.584,96.2
17,1.9446782680658194,1.2254459375,61.62,96.172
18,1.9521693538396787,1.227098125,62.014,96.204
19,1.9552082440791987,1.23220859375,61.522,96.128
